name,url
Borderlands Legendary Collection,https://www.metacritic.com/game/switch/borderlands-legendary-collection
Two Point Hospital,https://www.metacritic.com/game/playstation-4/two-point-hospital
Necrobarista,https://www.metacritic.com/game/pc/necrobarista
Clubhouse Games: 51 Worldwide Classics,https://www.metacritic.com/game/switch/clubhouse-games-51-worldwide-classics
MotoGP 20,https://www.metacritic.com/game/xbox-one/motogp-20
Tom Clancy's The Division 2: Warlords of New York,https://www.metacritic.com/game/xbox-one/tom-clancys-the-division-2-warlords-of-new-york
Pixel Ripped 1995,https://www.metacritic.com/game/playstation-4/pixel-ripped-1995
Tokyo Mirage Sessions #FE Encore,https://www.metacritic.com/game/switch/tokyo-mirage-sessions-fe-encore
SnowRunner,https://www.metacritic.com/game/pc/snowrunner
Remnant: From the Ashes - Swamps of Corsus,https://www.metacritic.com/game/pc/remnant-from-the-ashes---swamps-of-corsus
Jet Lancer,https://www.metacritic.com/game/switch/jet-lancer
Hunt: Showdown,https://www.metacritic.com/game/playstation-4/hunt-showdown
Aviary Attorney: Definitive Edition,https://www.metacritic.com/game/switch/aviary-attorney-definitive-edition
The Pedestrian,https://www.metacritic.com/game/pc/the-pedestrian
Neon Abyss,https://www.metacritic.com/game/switch/neon-abyss
Bloodroots,https://www.metacritic.com/game/playstation-4/bloodroots
Operencia: The Stolen Sun,https://www.metacritic.com/game/switch/operencia-the-stolen-sun
Wunderling,https://www.metacritic.com/game/switch/wunderling
Filament,https://www.metacritic.com/game/pc/filament
Rune Factory 4 Special,https://www.metacritic.com/game/switch/rune-factory-4-special
Bloodstained: Curse of the Moon 2,https://www.metacritic.com/game/switch/bloodstained-curse-of-the-moon-2
CrossCode,https://www.metacritic.com/game/playstation-4/crosscode
SnowRunner,https://www.metacritic.com/game/xbox-one/snowrunner
SnowRunner,https://www.metacritic.com/game/playstation-4/snowrunner
The Walking Dead: Saints & Sinners,https://www.metacritic.com/game/pc/the-walking-dead-saints-sinners
Creaks,https://www.metacritic.com/game/pc/creaks
Gears Tactics,https://www.metacritic.com/game/pc/gears-tactics
Nowhere Prophet,https://www.metacritic.com/game/switch/nowhere-prophet
Get Packed,https://www.metacritic.com/game/stadia/get-packed
Creature in the Well,https://www.metacritic.com/game/playstation-4/creature-in-the-well
Metro Redux,https://www.metacritic.com/game/switch/metro-redux
Vitamin Connection,https://www.metacritic.com/game/switch/vitamin-connection
Under Night In-Birth Exe:Late[cl-r],https://www.metacritic.com/game/playstation-4/under-night-in-birth-exelatecl-r
Mega Man Zero / ZX Legacy Collection,https://www.metacritic.com/game/xbox-one/mega-man-zero-zx-legacy-collection
Super Mega Baseball 3,https://www.metacritic.com/game/playstation-4/super-mega-baseball-3
Catherine: Full Body,https://www.metacritic.com/game/switch/catherine-full-body
Bloodstained: Curse of the Moon 2,https://www.metacritic.com/game/pc/bloodstained-curse-of-the-moon-2
Sega Ages: Thunder Force AC,https://www.metacritic.com/game/switch/sega-ages-thunder-force-ac
Shantae and the Seven Sirens,https://www.metacritic.com/game/switch/shantae-and-the-seven-sirens
Mr. Driller: Drill Land,https://www.metacritic.com/game/switch/mr-driller-drill-land
Valorant,https://www.metacritic.com/game/pc/valorant
Mega Man Zero / ZX Legacy Collection,https://www.metacritic.com/game/playstation-4/mega-man-zero-zx-legacy-collection
Fall Guys: Ultimate Knockout,https://www.metacritic.com/game/playstation-4/fall-guys-ultimate-knockout
Telling Lies,https://www.metacritic.com/game/switch/telling-lies
Shantae and the Seven Sirens,https://www.metacritic.com/game/pc/shantae-and-the-seven-sirens
Superliminal,https://www.metacritic.com/game/xbox-one/superliminal
EA SPORTS UFC 4,https://www.metacritic.com/game/playstation-4/ea-sports-ufc-4
Call of Duty: Warzone,https://www.metacritic.com/game/pc/call-of-duty-warzone
Total War: Three Kingdoms - Mandate of Heaven,https://www.metacritic.com/game/pc/total-war-three-kingdoms---mandate-of-heaven
Total War: Three Kingdoms - A World Betrayed,https://www.metacritic.com/game/pc/total-war-three-kingdoms---a-world-betrayed
Superliminal,https://www.metacritic.com/game/playstation-4/superliminal
Telling Lies,https://www.metacritic.com/game/playstation-4/telling-lies
Wide Ocean Big Jacket,https://www.metacritic.com/game/switch/wide-ocean-big-jacket
Atelier Dusk Trilogy Deluxe Pack,https://www.metacritic.com/game/playstation-4/atelier-dusk-trilogy-deluxe-pack
Paper Mario: The Origami King,https://www.metacritic.com/game/switch/paper-mario-the-origami-king
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,https://www.metacritic.com/game/switch/naruto-shippuden-ultimate-ninja-storm-4---road-to-boruto
EarthNight,https://www.metacritic.com/game/playstation-4/earthnight
Stories Untold,https://www.metacritic.com/game/switch/stories-untold
Hatsune Miku: Project Diva MegaMix,https://www.metacritic.com/game/switch/hatsune-miku-project-diva-megamix
Project Warlock,https://www.metacritic.com/game/xbox-one/project-warlock
Fall Guys: Ultimate Knockout,https://www.metacritic.com/game/pc/fall-guys-ultimate-knockout
Death end re;Quest 2,https://www.metacritic.com/game/playstation-4/death-end-request-2
Pirates Outlaws,https://www.metacritic.com/game/pc/pirates-outlaws
The Walking Dead: Saints & Sinners,https://www.metacritic.com/game/playstation-4/the-walking-dead-saints-sinners
Mortal Kombat 11: Aftermath,https://www.metacritic.com/game/xbox-one/mortal-kombat-11-aftermath
Call of Duty: Warzone,https://www.metacritic.com/game/playstation-4/call-of-duty-warzone
Resident Evil 3,https://www.metacritic.com/game/playstation-4/resident-evil-3
Fury Unleashed,https://www.metacritic.com/game/pc/fury-unleashed
Paper Beast,https://www.metacritic.com/game/playstation-4/paper-beast
Indivisible,https://www.metacritic.com/game/switch/indivisible
Frostpunk: The Last Autumn,https://www.metacritic.com/game/pc/frostpunk-the-last-autumn
Tom Clancy's The Division 2: Warlords of New York,https://www.metacritic.com/game/pc/tom-clancys-the-division-2-warlords-of-new-york
Moving Out,https://www.metacritic.com/game/pc/moving-out
SUPERHOT: MIND CONTROL DELETE,https://www.metacritic.com/game/playstation-4/superhot-mind-control-delete
Sega Ages: Puyo Puyo 2,https://www.metacritic.com/game/switch/sega-ages-puyo-puyo-2
Ibb & Obb,https://www.metacritic.com/game/switch/ibb-obb
