name,url
TowerFall Ascension,https://www.metacritic.com/game/playstation-4/towerfall-ascension
Monster Boy and the Cursed Kingdom,https://www.metacritic.com/game/playstation-4/monster-boy-and-the-cursed-kingdom
FIFA 14,https://www.metacritic.com/game/playstation-4/fifa-14
DOOM Eternal,https://www.metacritic.com/game/playstation-4/doom-eternal
Pro Evolution Soccer 2016,https://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2016
Cuphead,https://www.metacritic.com/game/playstation-4/cuphead
Zero Escape: The Nonary Games,https://www.metacritic.com/game/playstation-4/zero-escape-the-nonary-games
Wolfenstein II: The New Colossus,https://www.metacritic.com/game/playstation-4/wolfenstein-ii-the-new-colossus
Odin Sphere Leifthrasir,https://www.metacritic.com/game/playstation-4/odin-sphere-leifthrasir
Dark Souls II: Scholar of the First Sin,https://www.metacritic.com/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin
Sonic Mania Plus,https://www.metacritic.com/game/playstation-4/sonic-mania-plus
NBA 2K16,https://www.metacritic.com/game/playstation-4/nba-2k16
Fallout 4,https://www.metacritic.com/game/playstation-4/fallout-4
Uncharted: The Nathan Drake Collection,https://www.metacritic.com/game/playstation-4/uncharted-the-nathan-drake-collection
Tales from the Borderlands: A Telltale Game Series,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-a-telltale-game-series
F1 2017,https://www.metacritic.com/game/playstation-4/f1-2017
F1 2020,https://www.metacritic.com/game/playstation-4/f1-2020
Velocity 2X,https://www.metacritic.com/game/playstation-4/velocity-2x
Stardew Valley,https://www.metacritic.com/game/playstation-4/stardew-valley
Dragon Quest Builders 2,https://www.metacritic.com/game/playstation-4/dragon-quest-builders-2
Steins;Gate Elite,https://www.metacritic.com/game/playstation-4/steinsgate-elite
Thimbleweed Park,https://www.metacritic.com/game/playstation-4/thimbleweed-park
Ni no Kuni: Wrath of the White Witch Remastered,https://www.metacritic.com/game/playstation-4/ni-no-kuni-wrath-of-the-white-witch-remastered
Guilty Gear Xrd -REVELATOR-,https://www.metacritic.com/game/playstation-4/guilty-gear-xrd--revelator-
Final Fantasy XII: The Zodiac Age,https://www.metacritic.com/game/playstation-4/final-fantasy-xii-the-zodiac-age
